Query,Año,Citas,Type,Titulo,Abstract,Revista_or_evento,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14
Machine learning IN THE SOCCER,2016,34,Article,Using machine learning to draw inferences from pass location data in soccer,"In this paper, we present two approaches to analyzing pass event data to uncover sometimes-nonobvious insights into the game of soccer. We illustrate the utility of our methods by applying them to data from the 2012–2013 La Liga season. We first show that teams are characterized by where on the pitch they attempt passes, and can be identified by their passing styles. Using heatmaps of pass locations as features, we achieved a mean accuracy of 87% in a 20-team classification task. We also investigated using pass locations over the course of a possession to predict shots. For this task, we achieved an area under the receiver operating characteristic (AUROC) of 0.785.","The ASA Data Science Journal,","Brooks, J.","Kerr, M.","Guttag, J.",-,-,-,-,-,-,-,-,-,-,-
Machine learning IN THE SOCCER,2017,14,Article,Effective injury prediction in professional soccer with GPS data and machine learning,"We show that our injury predictors are both accurate and interpretable by providing a set of case studies of interest to soccer practitioners. Our approach opens a novel perspective on injury prevention, providing a set of simple and practical rules for evaluating and interpreting the complex relations between injury risk and training performance in professional soccer.","stat, 1050, 23","Rossi, A.","Pappalardo, L.","Cintia, P.","Iaia, F.","Fernández, J.","Medina, D",-,-,-,-,-,-,-,-
Machine learning IN THE SOCCER,2018,42,Article,QUANTIFYING THE RELATION BETWEEN PERFORMANCE AND SUCCESS IN SOCCER,"In this study, we analyze more than 6000 games and 10 million events in six European leagues and investigate this relation in soccer competitions. We discover that a team’s position in a competition’s final ranking is significantly related to its typical performance, as described by a set of technical features extracted from the soccer data. Moreover, we find that, while victory and defeats can be explained by the team’s performance during a game, it is difficult to detect draws by using a machine learning approach.",Advances in Complex Systems,"Pappalardo, L.","Cintia, P",-,-,-,-,-,-,-,-,-,-,-,-
Machine learning IN THE SOCCER,2017,5,Article,Predicting soccer match outcome using machine learning algorithms,"The aim of this study is to predict the results of soccer matches of the Italian Serie A TIM championship finished with a draw at the end of the first half using mainly descriptive matchstatistics collected during the first half. Moreover we aim to showing the usefulness of these match-statistics. The analysed dataset contains the results of matches played during the second half of season 2014-2015 and the first half of season 2015-2016. Due to the randomness of data and the existence of complex interacting factors, the prediction of soccer match outcomes translates into a hard three-class classification problem (i.e. the Home Win, the Draw or the Away Win). Indeed, the construction of a reliable predictive model is complicated by the limited number of overall available examples and by the even smaller number of instances of the Away win class which makes the dataset unbalanced.",Proceedings of MathSport International,"Liti, C.","Piccialli, V.","Sciandrone, M.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,0,Article,Performance analysis of the2014 FIFA World Cup group stage,"This report evaluates the performances of the countries in the2014 FIFA World Cup group stage by comparing each country’s ex-pected performances with their actual performances. We investigatethe performances in the individual matches as well as aggregates percountry and per region. While the sample size is small, the statisticsseem to confirm the perceptions that teams from the Americas havegenerally performed well and exceeded expectations.","Van Haaren, Jan, and Jesse Davis. ""Performance analysis of the 2014 FIFA World Cup group stage."" CW Reports (2014).","Van Haaren, J.","Davis, J.",-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,21,Article,Mathematical programming as a tool for virtual soccer coaches: a case study of a fantasy sport game,"General awareness of the potential of mathematics to support sports decision making has been raised by the movie “Moneyball” through its portrayal of a real professional American baseball club that used mathematical tools to improve team performance. This article addresses the same challenge using as a test case a fantasy sport game organized by an Argentinian newspaper. Two mathematical programming models are presented that act as virtual coaches that choose a virtual team lineup for each round of the real Argentinian soccer league. The a priori design creates a competitive team for the game, while the a posteriori model determines what would have been its optimal lineup once the season is over and all the results are known. The a priori model was entered in the fantasy game, achieving results that positioned it among the highest scoring participants. Further development of such models would provide useful tools for supporting decision making by coaches or managers of real sports.",International Transactions in Operational Research,"Bonomo, F.","Durán, G.","Marenco, J.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,9,Article,Muithu: A touch-based annotation interface for activity logging in the norwegian premier league,"Annotation of content is a key enabling technology for multimedia systems development. In this demonstration, we present a real-time activity annotation interface designed to be intuitive while imposing minimum effort on the user. Our solution is to use a smartphone and implement a tile-based touch interface. The interface was developed as a part of a larger project in collaboration with Tromsø IL, one of the top soccer teams in Norway. In this demonstration submission we present and evaluate the annotation interface of Muithu.",International Conference on Multimedia Modeling,"Stenhaug, M.","Yang, Y.","Gurrin, C.","Johansen, D.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,18,Article,Sports (betting) integrity: Detecting match-fixing in soccer,no_abstract,Gaming Law Review and Economics,"Feustel, E. D.","Rodenberg, R. M.",-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,1,Thesis,The Science of Recruitment and Team Selection: Practitioner Methodology In Performance Analytics,"Due to the absence of research regarding performance analytics, in relation to contextual matters of recruitment and team selection. The purpose was to provide a rich insight into performance analytics methodology within selection and recruitment. A mixed methods paradigmatic orientation was adopted through a series of in depth, questionnaires, semi structured interviews and cyberethography. The interview (N= 9) and questionnaire (N= 12) was completed by practitioners, providing an insight into analytical methodology in a variety of sport (N= 9). The interview, questionnaires and cyberethography material, was subject to the process of thematic analysis to configure properties. The resultant analysis illustrated six categorical themes: (1) Analytical processes in recruitment and selection, (2) analytical mapping of practice, (3) statistical methodology, (4) infrastructure of performance systems that support analytical practice (5) measuring the effectiveness of practice in recruitment and selection (6) future developments. Further reflection was given to wider intentions embedded in practitioner methodology to pedagogical, delivery and mental sharing models endowing a valuable lens to functionaries of the process. Ensuing, the broadening relevance, real world application and methodological infrastructure that underpins team selection and recruitment. The article concludes suggesting that future research should yield a short and long-term perspective pursuing this new dialogue in performance analytics.",Cardiff Metropolitan University,"Coles, J.",-,-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,11,Book,Heuristics in analytics: A practical perspective of what influences our analytical world,no_abstract,John Wiley & Sons,"Pinheiro, C. A. R.","McNeill, F.",-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,18,Article,The influence of match status on attacking patterns of play in elite soccer teams,"The attacking performance in elite soccer is a complex process that is influenced by several situational variables, such as match status. The objective of this study was to investigate the influence of match status on the configuration of attacking patterns of play performed by elite soccer teams based on the analysis of matches played by the semi-finalists of the 2010 FIFA World Cup. We observed 28 matches, 7 per semi-finalist team of the 2010 FIFA World Cup, resulting in 1938 attacks, further ordered according to match status (winning, drawing or losing). The SoccerEye observational instrument, SoccerEye recording software (version 3.2), and SDIS-GSEQ analysis software (version 5.1) were used. The national teams of Germany, Netherlands and Uruguay showed more difficulty in scoring goals while losing the match, although they scored after a positive crossing or after a free kick committed by the opposing team. The national team of Spain tended to shoot into the opponent goal after short passing, in both losing and winning situations. We conclude that attacking patterns of play were influenced by match status in the 2010 FIFA World Cup, with the exception of Spanish national team, which tended to use an indirect style of play with no dependence on match status.",Revista Brasileira de Cineantropometria & Desempenho Humano,"Machado, J. C.","Barreira, D.","Garganta, J.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,40,Article,Match Performance Profiles of Goalkeepers of Elite Football Teams,"The aim of the current study was to examine match performance of elite goalkeepers considering three situational variables (opposition, outcome and location). Match performance statistics of 46 goalkeepers who played 744 full matches during season 2012–13 in the Spanish First Division Professional Football League were analyzed. Results indicated that there were only three performance indicators (Fouls Drawn, Fouls Committed and Tackles) that showed no differences among goalkeepers of high, intermediate and low levels of team. The sole indicator was Saves which differed for goalkeepers of all three team levels and also the sole varied indicator for goalkeepers of intermediate and low level teams when facing different opponent levels. High level team goalkeepers showed differences in none of their match performance indicators during matches won, drawn and lost. However, Saves (F2,244=6.459, p<0.01, &b.eta;p2=0.05) was the sole indicator which differed for low level team goalkeepers when the final outcome is different. Different variations in performance indicators were found depending on the match location for different team levels. The most interesting performance differential was that a goalkeeper of a high-level team had a higher number of Saves when playing against a low-level team than a high-level team or an intermediate-level team. Information provided by the profiles can be used by coaches to modify training programs depending on the game context of upcoming matches. Results can also enable a more thorough understanding of goalkeeper's performance profiles from different team levels, thus can be used for talent identification and player selection in the transfer market.",International Journal of Sports Science & Coaching,"Liu, H.","Gómez, M. A.","Lago-Peñas, C.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,21,Article,The relative age effect in soccer: a case study of the São Paulo Football Club,"The aim of this study was to compare the birth-date distribution of youth athletes of a high-level Brazilian soccer club with the general population of the same age group. In a cross-sectional study, the birth date of 341 youth athletes (under 10-20) was compared with a reference population (live births that occurred in São Paulo state in the same age group; n = 5,480,868). The subjects were divided into quarters of birth: 1st = January-March; 2nd = April-June; 3rd = July-September; 4th = October-December. The chi-square test (?2) was used to compare the expected (reference population) and observed (athletes) distributions. It was detected a significant difference between the expected distribution and observed distribution (?2= 29.53; p<0.0001), with a higher percentage of athletes born in the 1st quarter (47.5%) and a lower percentage in the 4th quarter (8.8%). The present results confirm the occurrence of the relative age effect (RAE) during the player selection process in a top-level Brazilian soccer club. The occurrence of this phenomenon during the selection and development of young athletes needs to be taken into account and should be analyzed carefully in order to minimize the loss of potential youth soccer talent. Further studies are required to identify the determinants of RAE and to establish preventive strategies that ensure a more efficient selection process of young soccer players.",Revista Brasileira de Cineantropometria & Desempenho Humano,"Massa, M.","Costa, E. C.","Moreira, A.","Thiengo, C. R.","Lima, M. R. D.","Marquez, W. Q.","Aoki, M. S.",-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,177,Article,Organizational design challenges resulting from big data,Business firms and other types of organizations are feverishly exploring ways of taking advantage of the big data phenomenon. This article discusses firms that are at the leading edge of developing a big data analytics capability. Firms that are currently enjoying the most success in this area are able to use big data not only to improve their existing businesses but to create new businesses as well. Putting a strategic emphasis on big data requires adding an analytics capability to the existing organization. This transformation process results in power shifting to analytics experts and in decisions being made in real time.,Journal of Organization Design,"Galbraith, J. R.",-,-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,2,Article,Predictive power of fantasy sports data for soccer forecasting,"We analyse data from 5,000 competitors who participated in an online soccer managerial game which revolved around the English Premier League (EPL). We show that competitors incorporate into their decisions relevant information about the outcome of a soccer match. Furthermore, forecasts based on managerial game data are significantly better than random forecasts, forecasts based on relative frequency, and forecasts based on teams' attendance, but worse than bookmaker odds. Our work provides an evidence that crowds poses significant amount of information for the match outcome prediction.","Journal of Data Mining, Modelling and Management","Åátrumbelj, E.","Robnik-Åáikonja, M.",-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,10,Article,A Comparison of Physical and Technical Match Performance of a Team Competing in the English Championship League and Then the English Premier League following Promotion,"The changes in match demands when a team is promoted from the English Championship League (ECL) to the English Premier League (EPL) remain unknown. To date, estimates of between-league differences are made using different teams. This study explores differences in physical and technical performance of players who competed in the ECL and then the EPL following promotion. Although total distance covered over the season was the only measure to significantly differ (p= 0.0001) between the ECL and EPL, the 3% increase in total distance in the EPL was deemed practically non-significant. In the EPL, players had an extra 57 ± 6 hours (p = 0.0002) between matches, yet this had little affect on total, sprint and high intensity distances. In summary, higher league standard may not require greater physical capacity and developing a tactical strategy to suit the ability of players that is sustainable across leagues is important.",International Journal of Sports Science & Coaching,"Morgans, R.","Adams, D.","Mullen, R.","Sacramento, J.","McLellan, C.","Williams, M.",-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,74,Article,Sprinting activities and distance covered by top level Europa league soccer players,"This study presents a detailed analysis of sprinting activities and distance covered by professional soccer players in two seasons of the Europa League competition. The investigation considered such variables as the mean sprinting distance covered, duration of the rest pause between sprinting activities and maximal running speed recorded during the match. The study involved 147 soccer players participating in 10 matches played at one ground in the 2008–2009 and 2010–2011 Europa League seasons. Players' performance data were divided into two halves of matches and five playing positions. The study was carried out using data from Amisco Pro (version 1.0.2.). Results indicate wide variations in the analyzed variables, depending on the playing position on the pitch and tactical tasks. Individualization of training speed and endurance loads will help to optimize the training process of soccer players at different levels of their athletic skills.",International Journal of Sports Science & Coaching,"Andrzejewski, M.","Chmura, J.","Pluta, B.","Konarski, J. M.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2013,209,Article,Performance analysis in team sports: Advances from an Ecological Dynamics approach,"Capacity to produce data for performance analysis in sports has been enhanced in the last decade with substantial technological advances. However, current performance analysis methods have been criticised for the lack of a viable theoretical framework to assist on the development of fundamental principles that regulate performance achievement. Our aim in this paper is to discuss ecological dynamics as an explanatory framework for improving analysis and understanding of competitive performance behaviours. We argue that integration of ideas from ecological dynamics into previous approaches to performance analysis advances current understanding of how sport performance emerges from continuous interactions between individual players and teams. Exemplar data from previous studies in association football are presented to illustrate this novel perspective on performance analysis. Limitations of current ecological dynamics research and challenges for future research are discussed in order to improve the meaningfulness of information presented to coaches and managers.",International Journal of Performance Analysis in Sport,"Travassos, B.","Davids, K.","Araújo, D.","Esteves, T. P.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,2,Book,Social networks and the economics of sports,Presents latest research on applications of optimization and scheduling in sports managementProvides an overview of the state of the art in scientific models for addressing complex challenges in sports management and sports administrationPresents recent results from studies into the arising field of social networks and their impact on sports,Springer,"Pardalos, P. M.","Zamaraev, V.",-,-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2017,7,Article,Rivalries in US Professional Soccer,"This paper investigates factors that contribute to attendance in Major League Soccer with a primary focus on the effect of repeat rivalry matches during a season. Using ordinary least squares, a panel of 2,193 matches (6 seasons) finds significant effects for a variety of match determinants including how rivalries are defined in the estimation. With an increased focus on creating rivalries, the data supports potential diminishing returns from overscheduling of rivalry matches. Fans and leagues appear to place a high value on scheduling rivalry matches, however it appears these impacts are relatively short-sited and are not consistent across each rivalry match during the season. Numerous other factors at the club and league’s discretion may provide larger impacts for leagues with a primary goal of increasing attendance.",International Journal of Sport Finance,"Wooten, J.",-,-,-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2018,1,Article,Prediction learning model for soccer matches outcomes,"Sport is a global business into which passionate fans and smart corporations pour hundreds of billions of dollars. Particularly, football soccer detonates a great movement of money in bets, sponsorships, attendance to parties, sale of t-shirts and accessories, etc. Professional soccer has been in the market for quite some time. The sports management of soccer is awash with data, which has allowed the generation of several metrics associated with the individual and team performance. The aim is to find mechanisms to obtain competitive advantages. In this paper, we propose a procedure for predicting the outcome of a soccer match. The procedure consist of a Bayesian Model based on rank position along with a Machine Learning Model based on historical data of matches. The procedure was tested using a data set containing the results of over 200,000 soccer matches from different soccer leagues around the world and for predicting the outcome of the FIFA world cup 2018. The results shoed an improvement in accuracy and rank probability error compared with other methodologies.",2018 Seventeenth Mexican International Conference on Artificial Intelligence (MICAI),"Hervert-Escobar, L.","Matis, T. I.","Hernandez-Gress, N.",-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2016,306,Article,Big data and tactical analysis in elite soccer: future challenges and opportunities for sports science,"Until recently tactical analysis in elite soccer were based on observational data using variables which discard most contextual information. Analyses of team tactics require however detailed data from various sources including technical skill, individual physiological performance, and team formations among others to represent the complex processes underlying team tactical behavior. Accordingly, little is known about how these different factors influence team tactical behavior in elite soccer. In parts, this has also been due to the lack of available data. Increasingly however, detailed game logs obtained through next-generation tracking technologies in addition to physiological training data collected through novel miniature sensor technologies have become available for research. This leads however to the opposite problem where the shear amount of data becomes an obstacle in itself as methodological guidelines as well as theoretical modelling of tactical decision making in team sports is lacking. The present paper discusses how big data and modern machine learning technologies may help to address these issues and aid in developing a theoretical model for tactical decision making in team sports. As experience from medical applications show, significant organizational obstacles regarding data governance and access to technologies must be overcome first. The present work discusses these issues with respect to tactical analyses in elite soccer and propose a technological stack which aims to introduce big data technologies into elite soccer research. The proposed approach could also serve as a guideline for other sports science domains as increasing data size is becoming a wide-spread phenomenon.",SpringerPlus,"Rein, R.","Memmert, D.",-,-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2018,24,Article,Data-driven visual performance analysis in soccer: An exploratory prototype,"In soccer, understanding of collective tactical behavior has become an integral part in sports analysis at elite levels. Evolution of technology allows collection of increasingly larger and more specific data sets related to sport activities in cost-effective and accessible manner. All this information is minutely scrutinized by thousands of analysts around the globe in search of answers that can in the long-term help increase the performance of individuals or teams in their respective competitions. As the volume of data increases in size, so does the complexity of the problem and the need for suitable tools that leverage the cognitive load involved in the investigation. It is proven that visualization and computer-vision techniques, correctly applied to the context of a problem, help data analysts focus on the relevant information at each stage of the process, and generally lead to a better understanding of the facts that lie behind the data. In the current study, we presented a software prototype capable of assisting researchers and performance analysts in their duty of studying group collective behavior in soccer games and trainings. We used geospatial data acquired from a professional match to demonstrate its capabilities in two different case studies. Furthermore, we successfully proved the efficiency of the different visualization techniques implemented in the prototype and demonstrated how visual analysis can effectively improve some of the basic tasks employed by sports experts on their daily work, complementing more traditional approaches.",Frontiers in Psychology,"Benito Santos, A.","Theron, R.","Losada, A.","Sampaio, J. E.","Lago-Peñas, C.",-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2020,3,Article,CAVA: A Visual Analytics System for Exploratory Columnar Data Augmentation Using Knowledge Graphs,"Most visual analytics systems assume that all foraging for data happens before the analytics process; once analysis begins, the set of data attributes considered is fixed. Such separation of data construction from analysis precludes iteration that can enable foraging informed by the needs that arise in-situ during the analysis. The separation of the foraging loop from the data analysis tasks can limit the pace and scope of analysis. In this paper, we present CAVA, a system that integrates data curation and data augmentation with the traditional data exploration and analysis tasks, enabling information foraging in-situ during analysis. Identifying attributes to add to the dataset is difficult because it requires human knowledge to determine which available attributes will be helpful for the ensuing analytical tasks. CAVA crawls knowledge graphs to provide users with a a broad set of attributes drawn from external data to choose from. Users can then specify complex operations on knowledge graphs to construct additional attributes. CAVA shows how visual analytics can help users forage for attributes by letting users visually explore the set of available data, and by serving as an interface for query construction. It also provides visualizations of the knowledge graph itself to help users understand complex joins such as multi-hop aggregations. We assess the ability of our system to enable users to perform complex data combinations without programming in a user study over two datasets. We then demonstrate the generalizability of CAVA through two additional usage scenarios. The results of the evaluation confirm that CAVA is effective in helping the user perform data foraging that leads to improved analysis outcomes, and offer evidence in support of integrating data augmentation as a part of the visual analytics pipeline.",IEEE Transactions on Visualization and Computer Graphics,"Cashman, D.","Xu, S.","Das, S.","Heimerl, F.","Liu, C.","Humayoun, S. R.","Gleicher, M.","Endert, A.","Chang, R.",-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2016,34,Article,Using machine learning to draw inferences from pass location data in soccer,"In this paper, we present two approaches to analyzing pass event data to uncover sometimes-nonobvious insights into the game of soccer. We illustrate the utility of our methods by applying them to data from the 2012–2013 La Liga season. We first show that teams are characterized by where on the pitch they attempt passes, and can be identified by their passing styles. Using heatmaps of pass locations as features, we achieved a mean accuracy of 87% in a 20-team classification task. We also investigated using pass locations over the course of a possession to predict shots. For this task, we achieved an area under the receiver operating characteristic (AUROC) of 0.785. Finally, we used the weights of the predictive model to rank players by the value of their passes. Shockingly, Cristiano Ronaldo and Lionel Messi topped the rankings.",Statistical Analysis and Data Mining: The ASA Data Science Journal,"Brooks, J.","Kerr, M.","Guttag, J.",-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2018,43,Article,Quantifying the relation between performance and success in soccer,"The availability of massive data about sports activities offers nowadays the opportunity to quantify the relation between performance and success. In this study, we analyze more than 6000 games and 10 million events in six European leagues and investigate this relation in soccer competitions. We discover that a team’s position in a competition’s final ranking is significantly related to its typical performance, as described by a set of technical features extracted from the soccer data. Moreover, we find that, while victory and defeats can be explained by the team’s performance during a game, it is difficult to detect draws by using a machine learning approach. We then simulate the outcomes of an entire season of each league only relying on technical data and exploiting a machine learning model trained on data from past seasons. The simulation produces a team ranking which is similar to the actual ranking, suggesting that a complex systems’ view on soccer has the potential of revealing hidden patterns regarding the relation between performance and success.",Advances in Complex Systems,"Pappalardo, L.","Cintia, P.",-,-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2017,5,Article,Predicting soccer match outcome using machine learning algorithms,"The aim of this study is to predict the results of soccer matches of the Italian Serie A TIM championship finished with a draw at the end of the first half using mainly descriptive match- statistics collected during the first half. Moreover we aim to showing the usefulness of these match-statistics. The analysed dataset contains the results of matches played during the second half of season 2014-2015 and the first half of season 2015-2016. Due to the randomness of data and the existence of complex interacting factors, the prediction of soccer match outcomes trans- lates into a hard three-class classification problem (i.e. the Home Win, the Draw or the Away Win). Indeed, the construction of a reliable predictive model is complicated by the limited num- ber of overall available examples and by the even smaller number of instances of the Away win class which makes the dataset unbalanced. We manipulated the data in order to better represent the phenomenon and at the same time reduce the number of features given the small number of instances. We tested different classifiers. The default version of all classifiers gave poor results due to the entropy of the dataset. The adoption of suitable feature selection techniques allowed us to attain promising results compared with those of a reasonable baseline.",In Proceedings of MathSport International 2017 Conference,"Liti, C.","Piccialli, V.","Sciandrone, M.",-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2016,45,Article,Developing a Data-Driven Player Ranking in Soccer Using Predictive Model Weights,"Quantitative evaluation of the ability of soccer players to contribute to team offensive performance is typically based on goals scored, assists made, and shots taken. In this paper, we describe a novel player ranking system based entirely on the value of passes completed. This value is derived based on the relationship of pass locations in a possession and shot opportunities generated. This relationship is learned by applying a supervised machine learning model to pass locations in event data from the 2012-2013 La Liga season. Interestingly, though this metric is based entirely on passes, the derived player rankings are largely consistent with general perceptions of offensive ability, e.g., Messi and Ronaldo are near the top. Additionally, when used to rank midfielders, it separates the more offensively-minded players from others.",Association for Computing Machinery,"Brooks, J.","Kerr, M","Guttag, J.",-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2017,54,Article,Individual ball possession in soccer,"This paper describes models for detecting individual and team ball possession in soccer based on position data. The types of ball possession are classified as Individual Ball Possession (IBC), Individual Ball Action (IBA), Individual Ball Control (IBC), Team Ball Possession (TBP), Team Ball Control (TBC) und Team Playmaking (TPM) according to different starting points and endpoints and the type of ball control involved. The machine learning approach used is able to determine how long the ball spends in the sphere of influence of a player based on the distance between the players and the ball together with their direction of motion, speed and the acceleration of the ball. The degree of ball control exhibited during this phase is classified based on the spatio-temporal configuration of the player controlling the ball, the ball itself and opposing players using a Bayesian network. The evaluation and application of this approach uses data from 60 matches in the German Bundesliga season of 2013/14, including 69,667 IBA intervals. The identification rate was F = .88 for IBA and F = .83 for IBP, and the classification rate for IBC was ? = .67. Match analysis showed the following mean values per match: TBP 56:04 ± 5:12 min, TPM 50:01 ± 7:05 min and TBC 17:49 ± 8:13 min. There were 836 ± 424 IBC intervals per match and their number was significantly reduced by -5.1% from the 1st to 2nd half. The analysis of ball possession at the player level indicates shortest accumulated IBC times for the central forwards (0:49 ± 0:43 min) and the longest for goalkeepers (1:38 ± 0:58 min), central defenders (1:38 ± 1:09 min) and central midfielders (1:27 ± 1:08 min). The results could improve performance analysis in soccer, help to detect match events automatically, and allow discernment of higher value tactical structures, which is based on individual ball possession.",PloS one,"Link, D.","Hoernig, M.",-,-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2017,10,Article,GPS Data Reflect Players’ Internal Load in Soccer,"The use of RPE as a measure of Internal load has become a common methodology used in team sports owing to its low cost. The aim of this study was to build a machine learning process able to describe the players' RPE by the external load extracted from the GPS. In this paper, we propose a multidimensional approach to assess the RPE in professional soccer which is based on GPS measurements and machine learning. By using GPS tracking technology, we collect data describing the training workload of players in a professional soccer club during a season. We show that our Ordinal predictor is both accurate and precise in medium RPE value (i.e., between 4 and 7) but it is not consistent in etreme value (i.e., below 4 and above 7). Our approach is a preliminary study that suggest that it is possible to predict players' RPE from GPS training and match data. However, these are not the only information needed to understand the players' effort perceived after a trainings or matches.",2017 IEEE International Conference on Data Mining Workshops (ICDMW),"Rossi, A.","Perri, E.","Trecroci, A.","Savino, M.","Alberti, G.","Iaia, F. M.",-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2018,6,Article,Deep Learning from Spatial Relations for Soccer Pass Prediction,"We propose a convolutional architecture for learning representations over spatial relations in the game of soccer, with the goal to predict individual passes between players, as a submission to the prediction challenge organized for the 5th Workshop on Machine Learning and Data Mining for Sports Analytics. The goal of the challenge was to predict the receiver of a pass given location of the sender and all other players. From each soccer situation, we extract spatial relations between the players and a few key locations on the field, which are then hierarchically aggregated within the neural architecture designed to extract possibly complex gameplay patterns stemming from these simple relations. The use of convolutions then allows to efficiently capture the various regularities that are inherent to the game. In the experiments, we show very promising performance of the method.",International workshop on machine learning and data mining for sports analytics,"Hubá?ek, O.","Šourek, G.","Železný, F.",-,-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2017,26,Article,Adaptive pattern recognition in real-time video-based soccer analysis,"Computer-aided sports analysis is demanded by coaches and the media. Image processing and machine learning techniques that allow for “live” recognition and tracking of players exist. But these methods are far from collecting and analyzing event data fully autonomously. To generate accurate results, human interaction is required at different stages including system setup, calibration, supervision of classifier training, and resolution of tracking conflicts. Furthermore, the real-time constraints are challenging: in contrast to other object recognition and tracking applications, we cannot treat data collection, annotation, and learning as an offline task. A semi-automatic labeling of training data and robust learning given few examples from unbalanced classes are required. We present a real-time system acquiring and analyzing video sequences from soccer matches. It estimates each player’s position throughout the whole match in real-time. Performance measures derived from these raw data allow for an objective evaluation of physical and tactical profiles of teams and individuals. The need for precise object recognition, the restricted working environment, and the technical limitations of a mobile setup are taken into account. Our contribution is twofold: (1) the deliberate use of machine learning and pattern recognition techniques allows us to achieve high classification accuracy in varying environments. We systematically evaluate combinations of image features and learning machines in the given online scenario. Switching between classifiers depending on the amount of training data and available training time improves robustness and efficiency. (2) A proper human–machine interface decreases the number of required operators who are incorporated into the system’s learning process. Their main task reduces to the identification of players in uncertain situations. Our experiments showed high performance in the classification task achieving an average error rate of 3 % on three real-world datasets. The system was proved to collect accurate tracking statistics throughout different soccer matches in real-time by incorporating two human operators only. We finally show how the resulting data can be used instantly for consumer applications and discuss further development in the context of behavior analysis.",Journal of Real-Time Image Processing,"Schlipsing, M.","Salmen, J.","Tschentscher, M.","Igel, C.",-,-,-,-,-,-,-,-,-,-
"""Machine"" and ""learning"" and ""SCIENTIST"" and ""SOCCER""",2018,14,Article,Using social network analysis and gradient boosting to develop a soccer win–lose prediction model,"We present the conceptual framework of a soccer win–lose prediction system (SWLPS) focused on passing distribution data (which is a representative characteristic of soccer) using social network analysis (SNA) and gradient boosting (GB). The general purpose of soccer predictions is to help the field supervisor design a strategy to win subsequent games using the derived information to improve and expand the coaching process. To implement and evaluate the proposed SWLPS, actual network indicators and predicted network indicators are generated using passing distribution data and SNA. The win–lose prediction is conducted using the GB machine learning technique. The performance of the SWLPS is analyzed through comparison with various machine learning techniques (i.e., support vector machine (SVM), neural network (NN), decision tree (DT), case-based reasoning (CBR), and logistic regression (LR)). The experimental results and analyses demonstrate that the network indicators generated through SNA can represent soccer team performance and that an accurate win–lose prediction system can be developed using GB technique.",Engineering Applications of Artificial Intelligence,"Cho, Y.","Yoon, J.","Lee, S.",-,-,-,-,-,-,-,-,-,-,-
